,Time,Voltage,Current,Positive electrode stoichiometry,Discharge capacity [A.h],Battery negative particle concentration overpotential [V],Battery positive particle concentration overpotential [V],X-averaged battery negative reaction overpotential [V],X-averaged battery positive reaction overpotential [V],X-averaged battery concentration overpotential [V],X-averaged battery electrolyte ohmic losses [V],X-averaged battery negative solid phase ohmic losses [V],X-averaged battery positive solid phase ohmic losses [V]
69,4079.8050514198076,3.342242059189336,-2.3,0.35310820901165724,1.149875449518849,-0.001693022636089142,0.00011100991947987637,-0.06508567139584476,0.0008144957764253391,0.002784722192245089,0.0015869178328532887,-1.5284445477470242e-06,0.004097508235253677
70,4139.805051419808,3.3430009002776218,-2.3,0.3414633408494435,1.1115421161855157,-0.001629569767768957,0.00011102597020062888,-0.06517394066562811,0.000822175441590911,0.0027792249630348726,0.0015839252926398966,-1.5270921038533721e-06,0.0041272148196864755
71,4199.805051419808,3.344278730636292,-2.3,0.32981847268723413,1.0732087828521824,-0.002199088211067568,0.00011104459336674921,-0.06529751036407508,0.0008306022294997106,0.002774728554193907,0.001581490636429299,-1.5244317314796512e-06,0.004154477891415986
72,4259.805051419808,3.346596989241013,-2.3,0.31817360452502225,1.034875449518849,-0.003875409882690861,0.00011106634326063514,-0.06545577369053515,0.0008398491677379383,0.0027713980737969005,0.0015796742073443948,-1.520082475738648e-06,0.004179582445325458
73,4319.805051419808,3.35077149049513,-2.3,0.3065287363627958,0.9965421161855157,-0.007441996729525668,0.00011109193044767096,-0.06564782898984431,0.0008500024048148092,0.0027687205988049367,0.0015781251803811212,-1.5152617143753387e-06,0.0042028106980200874
74,4379.805051419808,3.357519143468009,-2.3,0.29488386820056334,0.9582087828521824,-0.01359177956278873,0.00011112227392873208,-0.06587450606178676,0.0008611648556127172,0.0027653167356056834,0.001576090669031944,-1.513019356608359e-06,0.00422442450968008
75,4439.805051419808,3.366258706786943,-2.3,0.2832390000383244,0.919875449518849,-0.021720123480862732,0.00011115858227084274,-0.06613891718550083,0.0008734567365813461,0.0027604610644456056,0.0015733229555294926,-1.5144741851217086e-06,0.004244647961016312
76,4499.805051419808,3.3746666073192104,-2.3,0.27159413187611586,0.8815421161855157,-0.02947819665316269,0.00011120249165230689,-0.0664419461265321,0.000887017244189714,0.002754833844092132,0.001570245199156421,-1.5178128545844088e-06,0.004263702252996993
77,4559.805051419808,3.380797072262105,-2.3,0.25994926371389226,0.8432087828521824,-0.03488595957604697,0.00011125639276832189,-0.06678144109365203,0.0009020130060024556,0.0027492505410437154,0.0015672498699340373,-1.5213149179402063e-06,0.004281827857516074
78,4619.805051419808,3.3845682952842333,-2.3,0.24830439555168082,0.804875449518849,-0.037790629998622496,0.00011132461773977198,-0.06716150565642914,0.0009186476735254523,0.002744144530940916,0.001564530540419118,-1.5241103231065225e-06,0.004299278328259604
79,4679.805051419808,3.3868142110961337,-2.3,0.23665952738945778,0.7665421161855157,-0.03888830836091088,0.00011141906223155473,-0.06758439083204684,0.0009371716489612325,0.002739658771334518,0.0015621353767145633,-1.525913360879501e-06,0.004316332751074459
80,4739.805051419808,3.388279388277941,-2.3,0.2250146592272018,0.7282087828521824,-0.03864533222270777,0.00011158786585330205,-0.0680533281949341,0.0009578901632494308,0.002735710126924181,0.0015600019660783658,-1.5268543557203116e-06,0.00433336842008325
81,4799.805051419808,3.389399250207018,-2.3,0.2133697910649352,0.689875449518849,-0.03698072054126596,0.00011205785503554111,-0.06857042838101797,0.00098114707559116,0.0027321036820834067,0.0015580176266219749,-1.5272098352645919e-06,0.004351057814330428
82,4859.805051419808,3.390394773193549,-2.3,0.20172492290271377,0.6515421161855157,-0.03333899376052127,0.00011387705471177512,-0.06913871915222675,0.0010071672305400625,0.002728583001859823,0.0015560198090789046,-1.5272244923007844e-06,0.004371283925189484
83,4919.805051419808,3.3913788574104546,-2.3,0.19008005474046602,0.6132087828521824,-0.0272153954881348,0.00012106023382729703,-0.06976269997763587,0.0010353253247306071,0.002724697817335679,0.001553688863239742,-1.5270518492679162e-06,0.004399589191224962
84,4979.805051419808,3.392415395342115,-2.3,0.17843518657824767,0.5748754495188491,-0.019276577413065363,0.00014236263171163444,-0.07044616526199103,0.001063310587888111,0.002719586851552308,0.001550485319979675,-1.5267771134038255e-06,0.004445622776605873
85,5039.805051419808,3.393532567590323,-2.3,0.166790318416014,0.5365421161855157,-0.011671318011487977,0.00018182127231280987,-0.07119421686020198,0.0010906651142019719,0.00271259604626489,0.0015462066104081928,-1.5264419190306563e-06,0.004509405242993925
86,5099.805051419808,3.394741015726195,-2.3,0.1551454502537888,0.4982087828521824,-0.006206307025625218,0.00023934555070503905,-0.07201321414264719,0.0011191195006547972,0.0027037392694366086,0.0015408379404460645,-1.5260652113039006e-06,0.004584505600877975
87,5159.805051419808,3.3960543699702805,-2.3,0.1435005820915286,0.45987544951884907,-0.0030355053707480373,0.0003180076656335018,-0.07291054994294341,0.0011494904936508732,0.0026926793165134846,0.001534212422066983,-1.5256542067277971e-06,0.004669724320808033
88,5219.805051419808,3.397486229418881,-2.3,0.13185571392930243,0.42154211618551574,-0.0014192318474624543,0.0004210225455003602,-0.07389510040923353,0.0011830024978367604,0.0026792519201799137,0.0015261698354430957,-1.5252105687305956e-06,0.004763848478779753
89,5279.805051419808,3.3990536961905464,-2.3,0.120210845767088,0.3832087828521824,-0.0006496024796554117,0.0005538553281030367,-0.07497742727633933,0.001220683625667629,0.0026629490015629502,0.0015164681887718076,-1.5247325199635308e-06,0.0048668378774761045
90,5339.805051419808,3.400779786613085,-2.3,0.10856597760486544,0.3448754495188491,-0.0002950753106204934,0.0007246745310465208,-0.07617035020049787,0.001264330265828395,0.002643222186100106,0.0015047012409774491,-1.524216830604726e-06,0.0049794520059474046
91,5399.805051419808,3.4026903037040217,-2.3,0.09692110944264261,0.30654211618551575,-0.00013433391409764517,0.0009447724877400532,-0.07748955760350501,0.0013148803434011036,0.0026193353564442907,0.001490552553410135,-1.5236588008005276e-06,0.0051002648779152615
92,5459.805051419808,3.404827037270633,-2.3,0.08527624128044323,0.2682087828521824,-6.207498715760096e-05,0.0012309306619626703,-0.07895450325076259,0.0013770908988255393,0.0025902306792596045,0.0014732657019983146,-1.5230523802680185e-06,0.00523093221549864
93,5519.805051419808,3.4072460937354014,-2.3,0.073631373118222,0.22987544951884908,-2.9841130350635736e-05,0.0016082496809715074,-0.08058965392108623,0.0014560166330355173,0.002554415945347252,0.0014520618257406583,-1.5223900791753288e-06,0.0053705211832886235
94,5579.805051419808,3.410044256895757,-2.3,0.06198650495599442,0.19154211618551575,-1.567255564499659e-05,0.002109122264773333,-0.08242645220974963,0.0015631511782756569,0.002509925546618363,0.0014257409806081988,-1.5216623081772127e-06,0.005517579988438381
95,5639.805051419808,3.4134374175213162,-2.3,0.05034163679374497,0.15320878285218242,-9.69891969448966e-06,0.0027446756333318056,-0.08450670341916432,0.0017254616986659421,0.0024554977002481555,0.0013940517450911896,-1.520855831160688e-06,0.005661208471700263
96,5699.805051419808,3.4184829109267496,-2.3,0.03869676863151238,0.1148754495188491,-7.5215059005262486e-06,0.0036456776780244837,-0.0868947243144816,0.0020295715993623453,0.0024083532054533447,0.001374632666523645,-1.5199438944299353e-06,0.00569284905336076
97,5759.805051419808,3.4365228978847555,-2.3,0.027051900469272475,0.07654211618551576,-7.223403194561717e-06,0.011312771717830294,-0.08972735239402838,0.0026255993205390737,0.002495422497464432,0.0014580621121253099,-1.5188858790563862e-06,0.0050814303548740725
98,5819.805051419808,3.533973718262822,-2.3,0.01540703230703534,0.03820878285218243,-8.041795566293697e-06,0.06322629958328063,-0.09309390897627888,0.0038659033061216874,0.002644960017692325,0.0015248660893140793,-1.5177728119045218e-06,0.00459513652743837
99,5843.6651808310135,3.64999,-2.3,0.010776231284910396,0.022964811283912007,-8.626388540836083e-06,0.1265271493139588,-0.09459573833502882,0.005272637808539482,0.002674541981388632,0.0015356623073707058,-1.5172753652891878e-06,0.004514549498955578
100,5843.665180832014,3.4392991769060375,2.3,0.010776231284910396,0.022964811283912007,-8.626388540836083e-06,0.12652714931395836,0.09458861861801073,-0.005259770277227904,0.002674541981388627,-0.0016783464562544078,1.5102243001692438e-06,-0.0032424607023311403
101,5903.6651808310135,3.2383122596603373,2.3,0.022421099446660066,0.06129814461660616,-1.418441487266442e-06,-0.009362039590786964,0.07409326638744483,-0.0024036762453043536,-0.0026073249841387625,-0.0015914560268809352,1.5193790966291144e-06,-0.004214417765627143
102,5963.6651808310135,3.2359332397953127,2.3,0.03406596760860743,0.09963147794993948,9.549252904944572e-07,-0.0016504825605041518,0.07017414880601354,-0.002010837279759592,-0.0027038879023757786,-0.001613849650579308,1.5209118754058405e-06,-0.003948674588091894
103,6023.6651808310135,3.237103917462562,2.3,0.045710835770547395,0.13796481128327281,1.8483712747444092e-05,-0.00029231643528326856,0.0680184624116889,-0.0017625098259630434,-0.0027391435655159508,-0.0016307373813097986,1.5218159426908632e-06,-0.003732437533166877
104,6083.6651808310135,3.238146255508374,2.3,0.05735570393251582,0.17629814461660614,0.00012163344901031103,-0.00011201478367484086,0.06659178776373842,-0.0015922858638055537,-0.002752201350421285,-0.001635412062110847,1.5227039147072323e-06,-0.003666420575066276
105,6143.6651808310135,3.238499635355617,2.3,0.06900057209447583,0.21463147794993948,0.0005918962476293005,-0.0001019838682290164,0.06556704670875423,-0.0014726185035827122,-0.002753006470489849,-0.0016346822589255964,1.524410681989208e-06,-0.003671528807286162
106,6203.6651808310135,3.2373060580337336,2.3,0.08064544025644799,0.2529648112832728,0.002342510955151103,-0.00010674973286395328,0.06479620908820298,-0.0013814177202480238,-0.002748766937709222,-0.001631628786423513,1.5285089493943783e-06,-0.003703770362240455
107,6263.6651808310135,3.2325424897750477,2.3,0.09229030841841554,0.29129814461660614,0.007446201233046776,-0.00010941846489442852,0.06419984440330195,-0.001310049912588429,-0.002742136181693589,-0.00162748335345913,1.5342980763164272e-06,-0.0037465376063421374
